Epoch: 1  , step: 890  , ssim_all: 0.8220254778862
Epoch: 1  , step: 900  , ssim_all: 0.8219814896583557
Epoch: 1  , step: 910  , ssim_all: 0.82200688123703
Epoch: 1  , step: 920  , ssim_all: 0.8221032023429871
Epoch: 1  , step: 930  , ssim_all: 0.8223124146461487
Epoch: 1  , step: 940  , ssim_all: 0.8223690390586853
Epoch: 1  , step: 950  , ssim_all: 0.8223074078559875
Epoch: 1  , step: 960  , ssim_all: 0.8224003911018372
Epoch: 1  , step: 970  , ssim_all: 0.8224814534187317
Epoch: 1  , step: 980  , ssim_all: 0.8227739930152893
Epoch: 1  , step: 990  , ssim_all: 0.8228615522384644
Epoch: 1  , step: 1000  , ssim_all: 0.8230005502700806
Epoch: 1  , step: 1010  , ssim_all: 0.8230735659599304
Epoch: 1  , step: 1020  , ssim_all: 0.823263943195343
Epoch: 1  , step: 1030  , ssim_all: 0.8233315348625183
Epoch: 1  , step: 1040  , ssim_all: 0.8234547972679138
Epoch: 1  , step: 1050  , ssim_all: 0.8237755298614502
Epoch: 1  , step: 1060  , ssim_all: 0.8238292336463928
Epoch: 1  , step: 1070  , ssim_all: 0.8240377306938171
Epoch: 1  , step: 1080  , ssim_all: 0.8240750432014465
Epoch: 1  , step: 1090  , ssim_all: 0.8242684006690979
Epoch: 1  , step: 1100  , ssim_all: 0.8243443965911865
Epoch: 1  , step: 1110  , ssim_all: 0.8244524598121643
Epoch: 1  , step: 1120  , ssim_all: 0.8246424794197083
Epoch: 1  , Train:   , ssim_all: 0.8246994614601135
lr: 0.0001
Epoch: 1  , Test:   , SSIM: 0.8302205204963684
Epoch: 2  , step: 0  , ssim_all: 0.7946777939796448
Epoch: 2  , step: 10  , ssim_all: 0.8501453399658203
Epoch: 2  , step: 20  , ssim_all: 0.8508158922195435
Epoch: 2  , step: 30  , ssim_all: 0.8451030850410461
Epoch: 2  , step: 40  , ssim_all: 0.8390393853187561
Epoch: 2  , step: 50  , ssim_all: 0.8407310843467712
Epoch: 2  , step: 60  , ssim_all: 0.8364455699920654
Epoch: 2  , step: 70  , ssim_all: 0.8356854319572449
Epoch: 2  , step: 80  , ssim_all: 0.8352702856063843
Epoch: 2  , step: 90  , ssim_all: 0.8351621627807617
Epoch: 2  , step: 100  , ssim_all: 0.8350995779037476
Epoch: 2  , step: 110  , ssim_all: 0.8341895937919617
Epoch: 2  , step: 120  , ssim_all: 0.8341864347457886
Epoch: 2  , step: 130  , ssim_all: 0.8333879709243774
Epoch: 2  , step: 140  , ssim_all: 0.8325682878494263
Epoch: 2  , step: 150  , ssim_all: 0.8330233097076416
Epoch: 2  , step: 160  , ssim_all: 0.8340320587158203
Epoch: 2  , step: 170  , ssim_all: 0.8335795402526855
Epoch: 2  , step: 180  , ssim_all: 0.8328580260276794
Epoch: 2  , step: 190  , ssim_all: 0.832872211933136
Epoch: 2  , step: 200  , ssim_all: 0.8331589102745056
Epoch: 2  , step: 210  , ssim_all: 0.8334943056106567
Epoch: 2  , step: 220  , ssim_all: 0.8338483572006226
Epoch: 2  , step: 230  , ssim_all: 0.8338665962219238
Epoch: 2  , step: 240  , ssim_all: 0.8334611654281616
Epoch: 2  , step: 250  , ssim_all: 0.8331634998321533
Epoch: 2  , step: 260  , ssim_all: 0.8329405188560486
Epoch: 2  , step: 270  , ssim_all: 0.8331887722015381
Epoch: 2  , step: 280  , ssim_all: 0.8339080214500427
Epoch: 2  , step: 290  , ssim_all: 0.8339471220970154
Epoch: 2  , step: 300  , ssim_all: 0.8346819281578064
Epoch: 2  , step: 310  , ssim_all: 0.834647536277771
Epoch: 2  , step: 320  , ssim_all: 0.8346084952354431
Epoch: 2  , step: 330  , ssim_all: 0.8346289992332458
Epoch: 2  , step: 340  , ssim_all: 0.8346028923988342
Epoch: 2  , step: 350  , ssim_all: 0.8344982266426086
Epoch: 2  , step: 360  , ssim_all: 0.8346332907676697
Epoch: 2  , step: 370  , ssim_all: 0.8352019786834717
Epoch: 2  , step: 380  , ssim_all: 0.8356702923774719
Epoch: 2  , step: 390  , ssim_all: 0.8355443477630615
Epoch: 2  , step: 400  , ssim_all: 0.835532009601593
Epoch: 2  , step: 410  , ssim_all: 0.8358513712882996
Epoch: 2  , step: 420  , ssim_all: 0.8358795642852783
Epoch: 2  , step: 430  , ssim_all: 0.8359656929969788
Epoch: 2  , step: 440  , ssim_all: 0.835948646068573
